"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100132287",4.35645312058581,2.22814358240591,0.947505197881841,2.35158982492862,0.018693375596976,0.0420565944610616
"LOC100288069",95.9202296668382,-0.493631923671591,0.213342718723658,-2.31379784894834,0.0206788134257828,0.0458932138849793
"LINC00115",18.2201576646784,1.04834168932239,0.440662483337622,2.37901280222938,0.0173590730691345,0.0393197405453586
"LINC01128",295.60070431741,0.62618331499179,0.118175776247165,5.29874509715195,1.16601280416081e-07,6.04856555664422e-07
"FAM41C",2.43173380069753,4.05297474245051,1.60801688989643,2.52048020634382,0.0117194829381422,0.027752536403188
"NOC2L",1270.74416725286,-0.289397083884266,0.0825002581219972,-3.50783246588539,0.000451773458772072,0.001418116965778
"KLHL17",189.792290844666,-0.404387237716468,0.140410593695082,-2.88003367178008,0.00397632701297297,0.0104426390412104
"HES4",227.334654929294,-0.661538456686764,0.154081160959445,-4.29344153800144,1.75924653457149e-05,6.95402101327328e-05
"ISG15",2019.99370295333,-0.273795499345361,0.0921628539538488,-2.97077930640545,0.00297045157968206,0.008021955330054
"LOC100288175",120.298731732799,0.944414356074846,0.186264511625593,5.07028605627892,3.97218215105068e-07,1.9367612160196e-06
"RNF223",83.1936927100692,1.34242303822802,0.213134037697527,6.29849203219781,3.00555172389887e-10,2.02251858164233e-09
"C1orf159",76.1127520149058,-0.600593055272272,0.225325456709608,-2.66544696743385,0.00768860573727444,0.0190446339144858
"PUSL1",128.231283709661,-0.679632932474738,0.17025988733248,-3.99173841309765,6.55907014823297e-05,0.00023621303585393
"TAS1R3",57.2443905790687,2.41039471661088,0.308619950290796,7.81023622853835,5.70808987507491e-15,5.71157621536507e-14
"DVL1",1051.20207916451,0.581622884913723,0.0898943015528824,6.47007513119805,9.79542008955158e-11,6.89813463985185e-10
"AURKAIP1",294.614721326256,-0.668631386685392,0.13842442652347,-4.83029912767619,1.36328086936603e-06,6.19770044067742e-06
"MRPL20-AS1",87.6871653308578,-0.944799459576341,0.216416045249431,-4.36566271455247,1.26737915821234e-05,5.10264517652919e-05
"MRPL20",219.448156809729,-0.901093096007033,0.150323332143242,-5.99436616498356,2.04280620507517e-09,1.27308628802382e-08
"ATAD3C",36.6337200034094,3.07420162575881,0.381383836917606,8.06065000185877,7.58898254812851e-16,8.1067607883713e-15
